,股票代码,财报发布日,财报统计截止日,净利润(元),营业总收入(元),应付账款(元),销售净利率(%),营业收入(元),存货(元),营业成本(元),管理费用(元),营业费用/营业总收入(%),管理费用/营业总收入(%),总市值(亿元),销售费用(元),财务费用(元),换手率(%),利润总额(元),每股收益(元),总股本(万股),盈余公积金(元),未分配利润(元),资本公积金(元),营业利润(元),经营活动产生的现金流量净额(元),每股未分配利润(元),每股公积金(元),每股净利润(元),每股营业利润(元),每股经营现金流(元),净利润与营业总收入之比,存货周转率,管理费用与营业总收入之比,股价,中文名称,上市日期,机构名称,上市年限,行业名称
0,601636.XSHG,2021-10-12,2021-09-30,1464215045.23,3985588256.19,1088475213.19,36.74,3985588256.19,1597053064.19,1693341077.34,359469510.82,0.74,9.02,465.5214,29468434.31,8318677.27,2.0022,1687563453.67,0.5454,268621.6875,659768394.42,6916153009.64,2211474370.94,1687708334.73,1559360897.33,2.574681543402932,0.8232672467817774,0.5450844490097249,0.6282844659480445,0.5805044677675177,0.3673773985448532,1.060291054385745,0.09019233491109109,19.211499999999997,旗滨集团,2011-08-12,旗滨集团,10,建筑材料I
1,002585.XSHE,2021-10-12,2021-09-30,369547247.37,1599407690.47,149506670.43,23.11,1599407690.47,1362232438.12,1077553045.56,38580608.25,0.4,2.41,288.607,6387862.36,-1146741.39,1.7961,436701100.79,0.3196,115627.8047,258901914.31,2473265809.77,5154923542.31,436204637.34,771674978.86,2.1389888151789846,4.458204110753995,0.3196006776473895,0.3772489138505628,0.6673783878039847,0.2310525637534013,0.7910199576858686,0.024121809892425083,26.012999999999995,双星新材,2011-06-02,双星新材,10,轻工制造I
2,002984.XSHE,2021-10-12,2021-09-30,175955739.08,1334241586.64,496202496.57,13.19,1334241586.64,1228979926.43,1064103141.54,28677556.34,3.07,2.15,188.2741,40913169.38,2875843.08,0.8795,179466953.67,0.2708,64966.8945,63116038.74,3131886711.06,2308955721.18,179514501.18,334491911.09,4.820742526118437,3.5540497032377,0.27083907955612685,0.2763168881036787,0.5148651688899798,0.13187697103873566,0.8658425728978811,0.021493526080399162,28.217000000000002,森麒麟,2020-09-11,森麒麟,1,化工I
3,000708.XSHE,2021-10-12,2021-09-30,1874776016.05,25129458075.84,12613960930.88,7.46,25129458075.84,11600762310.04,21359349746.21,351696843.91,0.48,1.4,1034.6644,121411610.53,109136907.64,0.3578,2254326075.89,0.3713,504714.3438,969361446.45,15545183892.35,9196849722.01,2298690159.68,1131709899.48,3.0799964540952285,1.8221890926988156,0.3714528899525205,0.4554437946766355,0.22422780596234762,0.0746047133365144,1.8412022568313744,0.01399540104878461,21.912499999999998,中信特钢,1997-03-26,中信特钢,24,钢铁I
4,300208.XSHE,2021-10-12,2021-09-30,5042376.56,363570019.02,652150910.05,1.39,363570019.02,107832955.69,282987739.73,28922222.75,0.35,7.96,88.9627,1256754.28,29095820.05,2.3878,15415684.28,0.0099,74947.5,98901380.51,385834550.63,207765572.12,22410189.63,206849249.89,0.514806432009073,0.2772148131959038,0.00672787826144968,0.029901183668567994,0.2759921943894059,0.013869065919108744,2.624315896000643,0.07955062639092084,13.424999999999997,青岛中程,2011-04-26,青岛中程,10,电气设备I
5,300191.XSHE,2021-10-12,2021-09-30,10849149.09,103566827.08,53223092.86,10.48,103566827.08,1833880.37,60730613.15,16425477.38,,15.86,82.336,,609680.94,9.4236,13755258.94,0.0336,32000.0,85111063.85,268520014.47,549508133.84,13755258.94,90263455.85,0.8391250452187502,1.71721291825,0.033903590906249996,0.0429851841875,0.28207329953125,0.10475505908489013,33.11590774593437,0.15859786229921066,24.633999999999993,潜能恒信,2011-03-16,潜能恒信,10,采掘I
6,300204.XSHE,2021-10-12,2021-09-30,-65999771.49,153679651.05,24116748.87,-42.95,153679651.05,25498492.52,30628233.13,15327725.97,51.42,9.97,59.3615,79016147.33,-321182.76,1.8265,-65998838.56,-0.1386,47603.4531,169406419.71,352969307.65,530001412.6,-66413788.12,-44805389.32,0.7414783690345355,1.1133675775297907,-0.13864492424815292,-0.139514643991236,-0.09412214115198295,-0.4294633091568306,1.201178191454904,0.09973816224382948,12.370000000000001,舒泰神,2011-04-15,舒泰神,10,医药生物I
7,002552.XSHE,2021-10-12,2021-09-30,1499869.98,84456384.56,45781217.29,1.78,84456384.56,118337871.75,73223980.44,5615634.6,1.23,6.65,44.863,1041338.45,-243904.66,,1807596.73,0.0049,30623.2344,26290062.99,-63427108.71,408742110.68,2052787.75,18238177.76,-0.20712086738296984,1.3347450675556334,0.004897816998716504,0.006703366872311828,0.05955666707759648,0.017759107115631424,0.618770469310895,0.06649153440863322,14.6735,宝鼎科技,2011-02-25,宝鼎科技,10,机械设备I
8,600586.XSHG,2021-10-12,2021-09-30,476840669.31,1746488299.59,1092338696.9,27.3,1746488299.59,783857979.43,989632363.87,41584222.97,1.07,2.38,150.1637,18611038.2,44491957.15,2.4498,562494927.16,0.3253,142877.0,153795841.51,2068420173.88,1812761602.7,563261908.0,534299632.26,1.4476928924039558,1.2687567646997067,0.3337420783681068,0.3942285378332412,0.37395776245301904,0.27302826444468115,1.2625148813177018,0.023810192704847882,11.178500000000001,金晶科技,2002-08-15,金晶科技,19,建筑材料I
9,300229.XSHE,2021-10-13,2021-09-30,43875970.4,215331368.23,237261828.12,20.38,215331368.23,175032725.88,81850003.53,35056177.76,12.77,16.28,69.9744,27498930.5,13962205.95,2.0447,44035867.86,0.0623,71475.3516,101644392.85,977023869.77,380037767.33,42775095.01,32658539.04,1.3669381792449973,0.5317046489772007,0.06138615539178404,0.05984593856828261,0.04569202992210255,0.20376023595937562,0.4676268573119019,0.1628010728216604,10.2315,拓尔思,2011-06-15,拓尔思,10,计算机I
