,股票代码,财报发布日,财报统计截止日,净利润(元),营业总收入(元),应付账款(元),销售净利率(%),营业收入(元),存货(元),营业成本(元),管理费用(元),营业费用/营业总收入(%),管理费用/营业总收入(%),总市值(亿元),销售费用(元),财务费用(元),换手率(%),利润总额(元),每股收益(元),总股本(万股),盈余公积金(元),未分配利润(元),资本公积金(元),营业利润(元),经营活动产生的现金流量净额(元),每股未分配利润(元),每股公积金(元),每股净利润(元),每股营业利润(元),每股经营现金流(元),净利润与营业总收入之比,存货周转率,管理费用与营业总收入之比,股价,中文名称,上市日期,机构名称,上市年限,行业名称
0,600557.XSHG,2022-10-10,2022-09-30,72609832.47,1028314291.81,298306640.37,7.06,1028314291.81,236822438.27,319360216.01,36883782.36,41.12,3.59,77.05,422800440.38,-3062032.79,1.2257,85364757.89,0.1201,58459.7969,292813413.08,3690220083.79,82777777.61,86336469.22,237956142.69,6.312406610139968,0.14159778514386182,0.12420472926754214,0.14768520213589725,0.4070423698136385,0.07061054489692535,1.348521780043068,0.03586819968735294,12.9295,康缘药业,2002-09-18,康缘药业,20,医药生物I
1,603185.XSHG,2022-10-10,2022-09-30,1254720555.58,6029798338.1,1904637390.9,20.81,6029798338.1,1579750595.03,4193933089.39,183524270.42,0.11,3.04,521.7713,6647557.12,27222212.18,1.5564,1420457381.7,3.2439999999999998,38678.375,114153773.71,4851485822.78,4881661341.69,1421500411.66,470288467.11,12.54314800655405,12.6211645181319,3.2439846699350734,3.675181316846946,1.215895101875402,0.20808665318902927,2.654807095869684,0.03043622027296999,142.906,弘元绿能,2018-12-28,弘元绿能,3,电气设备I
2,603083.XSHG,2022-10-11,2022-09-30,161070481.39,1402414228.62,1547338966.9,11.49,1402414228.62,1628402532.34,1144252535.0,51786245.31,1.04,3.69,23.4368,14627256.73,-30181092.68,0.8561,160078437.83,0.6302,25558.1562,59273778.39,248463162.1,1291084022.13,160187806.97,-13389113.26,0.9721482260132676,5.051553844600105,0.630211663664533,0.6267580717344547,-0.05238685120799129,0.11485228693700303,0.7026840798114697,0.03692649735945604,9.927,剑桥科技,2017-11-10,剑桥科技,4,通信I
3,603300.XSHG,2022-10-11,2022-09-30,194595266.29,882013333.05,1000101771.64,22.06,882013333.05,19427591.08,379457827.98,45103148.24,7.97,5.11,81.4383,70293117.23,98478104.63,1.2871,228540005.45,0.1479,126260.9375,80521493.91,1693154721.46,1244584109.49,229689576.42,336425197.27,1.340996475224176,0.9857237987718885,0.1541215122769067,0.18191657765886618,0.2664523200376205,0.2206262184462564,19.53190317921804,0.051136583257798865,6.908000000000001,华铁应急,2015-05-29,华铁应急,7,非银金融I
4,002772.XSHE,2022-10-12,2022-09-30,138981627.19,586109725.32,109077620.04,23.71,586109725.32,1210684292.14,372604408.61,13608847.23,6.89,2.32,28.1535,40406236.59,15799395.79,1.411,138981627.19,0.3397,40743.0586,35007000.87,898495342.06,2031312140.95,138773051.69,210166519.21,2.2052721934332147,4.9856643333841415,0.34111731412820345,0.3406053852078744,0.5158339271318232,0.23712561178560856,0.30776347808344495,0.023218941167662654,7.096500000000001,众兴菌业,2015-06-26,众兴菌业,7,农林牧渔I
5,603339.XSHG,2022-10-12,2022-09-30,95286663.26,569476397.11,64176896.14,16.73,569476397.11,1055598903.77,421867864.61,13208511.2,1.56,2.32,37.7828,8884368.27,-10631813.0,1.0598,108662479.19,0.3079,30944.1172,80783673.45,1297954905.81,451922737.32,108665320.68,300049516.0,4.194512635215847,1.4604479888668467,0.3079314321495654,0.35116632986382307,0.9696496237417301,0.16732328810037483,0.3996478805570255,0.02319413283330274,12.193000000000001,四方科技,2016-05-19,四方科技,6,机械设备I
6,603938.XSHG,2022-10-13,2022-09-30,217265797.05,713634692.07,150328284.49,30.44,713634692.07,193926241.46,401825342.43,16755273.18,0.71,2.35,100.029,5045287.11,-2216124.84,0.9445,254337639.18,0.7972,27330.3203,97608290.0,1435006602.73,309730356.1,251195313.89,49428044.01,5.250602945659587,1.1332847646867865,0.7949624982990047,0.9191085619658838,0.1808542434462431,0.3044496007050741,2.072052443262982,0.023478781743918476,40.535,三孚股份,2017-06-28,三孚股份,5,化工I
7,600313.XSHG,2022-10-14,2022-09-30,43380752.05,1367417585.38,265983816.51,3.17,1367417585.38,814402916.81,1255571965.76,29541633.37,1.23,2.16,99.6705,16780698.04,3384161.39,2.9922,49201915.18,0.0232,108219.8672,15773592.85,58271914.04,419512519.71,49104131.73,74433333.39,0.05384585617011366,0.38764834088615474,0.04008575612999828,0.045374415068585486,0.06877973085333819,0.031724582537048955,1.5417085816416896,0.02160395894118218,10.373000000000001,农发种业,2001-01-19,农发种业,21,农林牧渔I
8,600481.XSHG,2022-10-14,2022-09-30,506743748.21,4449043204.06,1895254359.58,11.39,4449043204.06,3241557579.1,3537609618.38,93287194.6,1.5,2.1,290.8878,66701930.8,42197500.77,0.9851,585033543.3,0.255,187066.125,410620146.66,1248727945.9,3218619446.47,585000304.61,-2154122584.52,0.6675329089646777,1.7205784566660587,0.27089017223722356,0.3127238053442332,-1.1515300188743418,0.11389948916377526,1.0913301806479703,0.02096792283672818,16.151,双良节能,2003-04-22,双良节能,19,机械设备I
9,603809.XSHG,2022-10-15,2022-09-30,49598973.68,359996010.77,310247623.31,13.78,359996010.77,578010346.93,244336639.22,20796064.82,1.14,5.78,39.1785,4120238.27,11770062.58,1.0269,53769987.22,0.1224,39375.3711,84830283.7,1218179663.56,297335590.38,55460404.72,78019453.15,3.093760463783921,0.7551308903854369,0.12596446025622346,0.14085049402874075,0.19814277547215298,0.1377764536165613,0.42272018229042263,0.05776748685497663,10.973499999999998,豪能股份,2017-11-28,豪能股份,4,汽车I
