,股票代码,财报发布日,财报统计截止日,净利润(元),营业总收入(元),应付账款(元),销售净利率(%),营业收入(元),存货(元),营业成本(元),管理费用(元),营业费用/营业总收入(%),管理费用/营业总收入(%),总市值(亿元),销售费用(元),财务费用(元),换手率(%),利润总额(元),每股收益(元),总股本(万股),盈余公积金(元),未分配利润(元),资本公积金(元),营业利润(元),经营活动产生的现金流量净额(元),每股未分配利润(元),每股公积金(元),每股净利润(元),每股营业利润(元),每股经营现金流(元),净利润与营业总收入之比,存货周转率,管理费用与营业总收入之比,股价,中文名称,上市日期,机构名称,上市年限,行业名称
11,300692.XSHE,2020-10-14,2020-09-30,45703993.41,310178315.28,408494934.71,14.73,310178315.28,5693365.6,223533372.3,6464315.14,0.24,2.08,26.5507,755270.95,14495038.38,2.0151,56125148.64,0.256,16594.209,21384742.6,376311406.69,486851027.58,56153378.56,-19582145.12,2.2677272938408817,2.9338610088615855,0.2754213437350343,0.33839141449887733,-0.11800589663538649,0.1473474809763626,39.2620794104633,0.020840641726242597,8.675999999999998,中环环保,2017-08-21,中环环保,3,公用事业I
12,300115.XSHE,2020-10-14,2020-09-30,192323353.64,2739585329.24,2123529344.3,7.02,2739585329.24,3140992181.43,1910349935.51,185886086.79,2.36,6.79,217.0017,64596665.52,105369670.77,3.0023,209197566.41,0.2018,90986.0234,225145933.48,2285530238.93,1295811764.0,209729591.36,-302041206.44,2.51195750019997,1.424187711010568,0.21137680981450604,0.23050748183374284,-0.33196439975417147,0.07020162927115442,0.6081995195035076,0.06785190620128173,20.599499999999995,长盈精密,2010-09-02,长盈精密,10,电子I
13,002746.XSHE,2020-10-15,2020-09-30,49323095.03,843669649.77,180909224.39,5.85,843669649.77,375899020.57,793338139.94,10658390.77,0.61,1.26,57.6833,5141252.47,-4701610.94,0.6617,49323095.03,0.1068,46369.25,172136265.66,1895933873.63,905400194.95,49469372.46,150562581.73,4.088774076850499,1.952587533656464,0.10637026699806446,0.10668572914161864,0.32470350874771536,0.05846256890175722,2.110508664632885,0.01263336991310008,8.1775,仙坛股份,2015-02-16,仙坛股份,5,农林牧渔I
14,300860.XSHE,2020-10-15,2020-09-30,106996825.72,399228235.46,131752302.72,26.8,399228235.46,69901105.21,253546781.9,10603557.52,0.63,2.66,94.9215,2504369.8,-4610276.28,4.149,132612224.86,1.4845,7207.4058,27027028.5,632717486.65,2373805641.64,131095204.07,79175498.47,8.77871323202032,32.935645744270424,1.4845400507350368,1.8188958372511785,1.0985297715580271,0.2680091642233566,3.627221359923903,0.026560139234095847,73.0245,锋尚文化,2020-08-24,锋尚文化,0,休闲服务I
15,601058.XSHG,2020-10-15,2020-09-30,553717413.36,4365631767.22,2034653271.83,12.68,4365631767.22,2094310356.94,3154833666.9,159277528.45,5.53,3.65,120.6668,241587217.11,142589569.2,2.3487,608834814.4,0.1994,269948.0625,169531397.27,3795947044.16,1641801633.69,607977103.97,989307464.62,1.4061768063847466,0.6081916715701563,0.205119980574041,0.22522002874904876,0.3664806687101153,0.1268355745250138,1.5063830708976353,0.03648441667617484,4.229500000000001,赛轮轮胎,2011-06-30,赛轮轮胎,9,化工I
16,000803.XSHE,2020-10-15,2020-09-30,3319334.72,68151636.41,149006680.12,4.87,68151636.41,7162315.31,42160244.56,20354012.24,2.75,29.87,28.2675,1873779.18,2481249.79,0.1018,1948378.55,-0.0012,19022.5332,25340250.02,-281468810.84,655786897.87,2440605.12,30397470.3,-1.4796599794605692,3.447421492054486,0.01744948837834069,0.01283007417750229,0.15979717307051408,0.0487051360004167,5.886398843839787,0.2986577184669541,10.903500000000001,山高环能,1998-03-03,山高环能,22,电气设备I
17,603936.XSHG,2020-10-15,2020-09-30,31592093.1,692536132.09,587747858.27,4.56,692536132.09,428401456.53,565583215.87,28682579.45,3.16,4.14,59.9833,21853524.78,12003630.53,1.091,35691529.87,0.0716,44105.3594,60279091.45,845852005.18,1250780152.11,35591782.01,10812052.67,1.9177986908774627,2.8358915313815576,0.07162869440306613,0.08069718168989684,0.02451414707211296,0.04561797086984969,1.3202177706190723,0.04141672632074667,14.118999999999996,博敏电子,2015-12-09,博敏电子,4,电子I
18,000903.XSHE,2020-10-15,2020-09-30,7565973.84,2575275179.28,2736016124.21,0.29,2575275179.28,1883234039.44,2407142636.79,51668363.55,2.75,2.01,127.1167,70795163.51,18596327.25,1.8023,6046124.58,0.0034,197080.0781,353265821.17,1109832901.06,2342621950.27,6122602.78,-660530164.87,0.5631380460976182,1.1886650202570628,0.0038390353367735953,0.003106657374518262,-0.33515826218357886,0.002937928304079453,1.2781962232935158,0.02006323982994529,6.4205,云内动力,1999-04-15,云内动力,21,汽车I
19,002796.XSHE,2020-10-15,2020-09-30,13806152.7,447865949.58,422774532.0,3.08,447865949.58,250145486.45,388687025.23,14041411.65,2.02,3.14,40.5398,9045891.89,4353973.99,0.7511,17884987.72,0.0485,25242.6953,29176157.84,249883957.33,1035337495.63,18384173.58,-49898485.55,0.9899258156081296,4.1015330705592286,0.05469365507890118,0.07282967750278235,-0.19767495093917328,0.030826529038314125,1.5538438480187897,0.031351817799874636,16.651500000000002,世嘉科技,2016-05-10,世嘉科技,4,机械设备I
20,603181.XSHG,2020-10-15,2020-09-30,92830656.62,555089294.15,155370235.01,16.72,555089294.15,132287063.32,440135031.29,10153731.47,1.94,1.83,70.7658,10781939.16,1918651.85,1.0278,101789819.81,0.2286,40600.0,52154565.98,917693484.5,390009050.83,101825407.2,-43064789.78,2.2603287795566502,0.9606134256896552,0.22864693748768472,0.2508014955665025,-0.10607091078817735,0.1672355377744228,3.327120734590059,0.01829206864014241,12.367,皇马科技,2017-08-24,皇马科技,3,化工I
21,300598.XSHE,2020-10-15,2020-09-30,16542919.04,224699685.01,54152119.09,7.36,224699685.01,40822766.94,162554541.76,14572679.85,2.62,6.49,139.7572,5881214.65,2283701.82,1.8924,18881783.86,0.1565,10553.291000000001,39465434.48,319740783.53,238273690.43,18891308.39,12017476.63,3.0297732103663204,2.257814083113978,0.15675602084695664,0.1790086939704401,0.11387420881315599,0.07362235082467417,3.9819579598540558,0.06485402883119956,93.88799999999999,诚迈科技,2017-01-20,诚迈科技,3,计算机I
22,603319.XSHG,2020-10-15,2020-09-30,44619852.16,384064620.67,277396564.4,11.62,384064620.67,285459752.97,274293936.21,12063004.66,4.18,3.14,39.915,16035556.23,11055438.88,6.172999999999999,50749047.98,0.4188,10490.1553,68892989.68,568281044.26,191011137.7,50010255.51,2197638.54,5.417279611294219,1.820860914232604,0.42534977685220726,0.476735130031869,0.020949532939707766,0.11617798088811396,0.9608847949883376,0.03140878907032913,18.7165,湘油泵,2016-11-30,湘油泵,3,汽车I
23,603223.XSHG,2020-10-15,2020-09-30,49781781.72,1444625148.97,76078113.93,3.45,1444625148.97,8187920.08,1360585869.02,23373358.3,0.37,1.62,43.1545,5362021.85,1386578.79,2.2808,59493848.79,0.1441,28224.0,20500869.75,346110837.88,441233880.63,59932352.27,261997587.24,1.2262997373866213,1.563328658694728,0.1763810293367347,0.21234535243055558,0.9282794332482994,0.03445999936765174,166.16990099151042,0.01617953163605446,10.39,恒通股份,2015-06-30,恒通股份,5,交通运输I
24,002298.XSHE,2020-10-15,2020-09-30,106376014.06,743475500.26,1180746559.47,14.31,743475500.26,615591149.09,423026276.92,52948159.65,11.05,7.12,74.7518,82130433.28,12966477.49,1.646,116251226.01,0.1572,69150.5938,52453384.03,1032503124.46,2780907721.68,116590624.95,-64738870.5,1.4931225716531735,4.021523994028233,0.1538323942201636,0.16860393894404996,-0.093620122319181,0.14307938058859956,0.6871870681463504,0.07121708735726134,11.312999999999999,中电兴发,2009-09-29,中电兴发,11,建筑装饰I
25,300612.XSHE,2020-10-15,2020-09-30,13955092.03,206794319.03,103298792.97,6.75,206794319.03,28336727.92,161388421.25,8292394.34,7.38,4.01,38.7828,15263859.76,-438138.38,3.7601,17504149.36,0.0779,16200.0,28678606.26,54713968.85,200057562.25,17363611.56,44488317.13,0.33774054845679014,1.2349232237654322,0.08614254339506172,0.10718278740740741,0.27461924154320994,0.06748295647316845,5.695379569074819,0.04009972023843174,27.716,宣亚国际,2017-02-15,宣亚国际,3,传媒I
26,600143.XSHG,2020-10-15,2020-09-30,1429763663.46,9269790229.87,2638804326.47,15.42,9269790229.87,3511174855.66,6664492970.72,237268882.59,3.46,2.56,404.8308,320606116.79,88704030.25,0.9236,1571467142.75,0.5372,257362.2344,570379852.47,8012429241.47,2900107073.78,1580455682.22,157078207.1,3.113288653306004,1.1268580569100002,0.5555452480404794,0.6140977466661287,0.06103389934665565,0.1542390526651703,1.898080626767096,0.025595927923530524,15.723000000000003,金发科技,2004-06-23,金发科技,16,化工I
27,600075.XSHG,2020-10-16,2020-09-30,333298588.49,2338303527.3,1480532368.76,14.25,2338303527.3,897502637.98,1438686292.37,63443965.59,10.54,2.71,85.9348,246467955.79,35821425.22,0.452,402135737.8,0.2454,135972.7812,809828281.4,3678578051.0,487108020.07,401718171.28,326614979.34,2.705378251835008,0.3582393592093415,0.2451215497311605,0.29544013716180423,0.2402061474785808,0.14253863307252257,1.6029883718314593,0.027132476536635808,6.422499999999999,新疆天业,1997-06-17,新疆天业,23,化工I
28,300568.XSHE,2020-10-16,2020-09-30,28658373.37,269907294.87,253007474.6,10.62,269907294.87,178471946.3,180852301.2,23707100.47,3.67,8.78,78.7284,9898012.03,6680236.28,1.037,41787165.86,0.0696,44859.5039,83725659.19,571274017.89,1861683439.84,40939805.12,18216200.2,1.2734737752862217,4.150031270943234,0.0638847309454976,0.09126227791386698,0.04060722615347514,0.10617858025587347,1.0133374177250174,0.08783423390397228,7.983999999999999,星源材质,2016-12-01,星源材质,3,化工I
29,600141.XSHG,2020-10-16,2020-09-30,252863595.74,5879409618.38,3293685126.99,4.3,5879409618.38,1884480243.48,5044670072.68,69127898.8,2.95,1.18,101.0765,173452458.29,144879926.58,0.9815,287417316.67,0.2167,103139.2656,309699170.13,2001164594.57,5159696892.68,312265610.43,338158088.01,1.9402548417699808,5.002650409292811,0.24516714780641213,0.30276113429103185,0.32786551857123175,0.04300833113404905,2.6769556699433443,0.011757625899017961,10.185500000000001,兴发集团,1999-06-16,兴发集团,21,化工I
30,603898.XSHG,2020-10-16,2020-09-30,100887598.65,665569988.61,257294663.63,15.16,665569988.61,164898383.61,409826225.93,34097740.98,9.89,5.12,50.836999999999996,65848258.79,6185197.69,0.2562,118887477.49,0.3312,30960.4043,163702670.55,1335673012.92,814267987.5,119211757.97,70914159.45,4.314132980879711,2.6300302141080247,0.3258600813878907,0.38504586960448706,0.2290479115287264,0.15158075089998763,2.4853259138020243,0.0512308871546491,16.8035,好莱客,2015-02-17,好莱客,5,轻工制造I
31,300123.XSHE,2020-10-16,2020-09-30,2634360.35,439342537.35,337935199.12,0.6,439342537.35,1100917852.25,302903504.57,80883935.7,2.29,18.41,155.3767,10042398.24,26071245.59,4.0741,9050086.65,0.0015,100763.0859,11990798.57,703687982.3,3454449300.02,9173728.98,14934680.46,0.6983589039723921,3.4282885137601764,0.002614410154741003,0.009104255688540798,0.014821579079884054,0.005996142249029145,0.27513724475531137,0.18410221825519305,15.6505,亚光科技,2010-09-28,亚光科技,10,国防军工I
32,300050.XSHE,2020-10-16,2020-09-30,4807365.16,194606212.77,112932081.86,2.47,194606212.77,82415521.18,127797356.35,29616798.69,9.2,15.22,38.1827,17907746.55,2623728.25,,6953369.8,0.0082,57159.6719,61461678.97,92367272.02,1795427939.85,-878946.52,6755290.97,0.16159517532150144,3.141074607620342,0.00841041419623684,-0.0015377039279331481,0.011818281570647014,0.024703040522563887,1.5506467048953507,0.15218835138117262,6.821500000000002,世纪鼎利,2010-01-20,世纪鼎利,10,通信I
